data,ano,mes_num,valor,descricao,cash_class,empresa
2026-03-27,2026,3,0.0,CAIXA,other_outflow,CLEAR
2026-03-27,2026,3,5.77,BRADESCO,cash_in,CLEAR
2026-03-27,2026,3,-7546.44,CORRENTE CAIXA,other_outflow,CLEAR
2026-03-27,2026,3,6174.0,ITAU,cash_in,CLEAR
2026-03-27,2026,3,170.64,POUPANCA CAIXA,cash_in,CLEAR
2026-03-27,2026,3,688528.82,SANTANDER,cash_in,CLEAR
2026-03-27,2026,3,12980.57,SICOOB,cash_in,CLEAR
2026-03-27,2026,3,0.0,SICREDI,other_outflow,CLEAR
2026-03-27,2026,3,844.95,UNICRED,cash_in,CLEAR
2026-03-27,2026,3,-47000.0,UNIPRIME,other_outflow,CLEAR
2026-03-27,2026,3,0.0,CAIXA,other_outflow,CLEAR
2026-03-27,2026,3,3308.77,ITAU,cash_in,CLEAR
2026-03-27,2026,3,8566.75,SANTANDER,cash_in,CLEAR
2026-03-27,2026,3,165.77,SICREDI,cash_in,CLEAR
2026-03-27,2026,3,720.9,UNICRED,cash_in,CLEAR
